城市定位,区县定位,街道定位,小区定位,热度,参考均价,建筑年代,建筑类型,物业费,物业,开发商,楼栋总数,房屋总数,经度,纬度,房龄
南京,江宁 ,东山镇  ,新医路11号             ,2,26975,,塔板结合         ,,暂无信息                      ,暂无信息                       ,2,8,118.857609 ,31.957394,
南京,秦淮 ,大光路  ,八宝前街58号            ,41,33927,1996,塔楼/板楼        ,0.8,街道办事处（委员会）代管物业            ,无开发商                       ,3,108,118.811614 ,32.034634999999994,23.0
南京,溧水 ,溧水城北 ,天臣溧水G24地块          ,0,,,未知类型         ,,暂无信息                      ,南京容州文化产业投资有限公司             ,1,1,119.049402 ,31.705515999999996,
南京,栖霞 ,燕子矶  ,化工新村               ,11,23742,1990,塔楼/板楼        ,,无物业管理服务                   ,无开发商                       ,27,719,118.8271637,32.14237241,29.0
南京,江宁 ,东山镇  ,玲珑华庭               ,5,24887,2000,板楼           ,,暂无信息                      ,杭州玉玲珑置业有限公司                ,3,117,118.860815 ,31.95693,19.0
南京,秦淮 ,来凤里  ,泰禾南京院子             ,85,63658,1996,塔楼/板楼/平房     ,,福州泰禾物业管理有限公司南京分公司         ,南京吉庆房地产有限公司                ,18,104,118.786079 ,32.027193,23.0
南京,江宁 ,将军大道 ,左岸名苑月桂阁            ,86,28237,2008,板楼           ,0.5,街道办事处（委员会）代管物业            ,南京龙盛房地产开发有限公司              ,2,216,118.7886484,31.96159188,11.0
南京,江宁 ,麒麟镇  ,阳光之旅               ,244,18842,1990,塔板结合         ,,南京康盈物业管理有限公司              ,南京泰盈房地产有限公司                ,48,1328,118.93991  ,32.057521,29.0
南京,鼓楼 ,华侨路  ,丰汇大厦               ,51,33807,2011,板楼           ,0.5,江苏爱涛物业管理有限公司              ,南京丰汇房地产开发有限公司              ,1,180,118.783144 ,32.053024,8.0
南京,建邺 ,茶南   ,茶西里                ,43,33714,1988,塔板结合         ,0.3,业主自筹物业                    ,无开发商                       ,10,190,118.7552   ,32.041503000000006,31.0
南京,鼓楼 ,宁海路  ,河海大厦               ,62,85291,1997,塔楼           ,1,业主自筹物业                    ,鼓楼区房产开发公司                  ,1,184,118.7704191,32.06296176,22.0
南京,秦淮 ,长乐路  ,双桥里                ,4,27640,1986,板楼           ,,无物业管理服务                   ,无开发商                       ,2,66,118.800187 ,32.012192,33.0
